degree,pr,closeness,eigenvector,cc,betweennes,egoNeighEdge,egoNeighNode,egoEdge,egoNode,degree_w,label
0.84749,0.85547,0.82525,0.76111,0.86183,0.86023,0.67477,0.84748,0.82748,0.84749,0.83545,0
0.85762,0.87014,0.85696,0.76097,0.8475,0.86131,0.80885,0.86401,0.82567,0.85762,0.84523,0
0.86182,0.864,0.85579,0.75683,0.83851,0.86268,0.82019,0.86032,0.83472,0.86182,0.84589,0
0.87403,0.87094,0.83839,0.79982,0.84837,0.87551,0.86132,0.8796,0.8292,0.87403,0.79157,0
0.86654,0.86692,0.85805,0.7916,0.80555,0.87553,0.832,0.86701,0.84064,0.86654,0.77498,0
0.84639,0.84307,0.80096,0.80932,0.8372,0.87654,0.82673,0.85296,0.82402,0.84639,0.79916,0
0.84073,0.87192,0.84593,0.8016,0.82251,0.88654,0.83085,0.8509,0.81029,0.84073,0.83444,0
0.85963,0.86717,0.84245,0.80253,0.85242,0.86742,0.85502,0.86754,0.84582,0.85963,0.82888,0
0.86812,0.86677,0.84235,0.79063,0.84987,0.87905,0.84352,0.87072,0.83198,0.86812,0.84529,0
0.82662,0.85979,0.83947,0.7965,0.80635,0.8592,0.8598,0.83124,0.83803,0.82662,0.84816,0
0.8752,0.87838,0.80959,0.79635,0.85056,0.87405,0.8449,0.8735,0.80548,0.8752,0.84991,0
0.87508,0.77595,0.82931,0.80823,0.81103,0.7477,0.81129,0.87875,0.74666,0.87508,0.82068,0
0.85818,0.8768,0.85801,0.77589,0.85533,0.8647,0.83731,0.86593,0.79931,0.85818,0.82023,0
0.85462,0.79307,0.84317,0.81405,0.7561,0.75393,0.84979,0.8573,0.79304,0.85462,0.82985,0
0.85717,0.86791,0.8581,0.79306,0.80254,0.86776,0.82291,0.85446,0.838,0.85717,0.80999,0
0.87535,0.85441,0.85418,0.81635,0.84136,0.86871,0.84805,0.88188,0.84088,0.87535,0.7684,0
0.87112,0.87161,0.81653,0.78502,0.85418,0.87738,0.84987,0.87293,0.82802,0.87112,0.84474,0
0.88098,0.87178,0.85125,0.75751,0.81529,0.88351,0.83302,0.87795,0.83253,0.88098,0.83605,1
0.85149,0.87311,0.84545,0.77,0.83738,0.89095,0.85272,0.85511,0.77625,0.85149,0.83895,1
0.85892,0.86232,0.82811,0.80657,0.81841,0.87457,0.83889,0.86365,0.80456,0.85892,0.84236,1
0.87749,0.8496,0.86018,0.80733,0.82959,0.86576,0.84071,0.87954,0.80942,0.87749,0.84075,1
0.86998,0.86899,0.83058,0.78263,0.81734,0.86113,0.85005,0.87604,0.83633,0.86998,0.85499,1
0.86399,0.76689,0.82547,0.82529,0.83827,0.74692,0.85477,0.87141,0.78688,0.86399,0.85448,1
0.87694,0.86896,0.85539,0.78443,0.83058,0.87256,0.85833,0.88175,0.83942,0.87694,0.81446,1
0.87472,0.76351,0.85554,0.804,0.86688,0.86883,0.83405,0.86421,0.78083,0.87472,0.86227,1
0.85881,0.87458,0.84697,0.79261,0.80481,0.87536,0.85539,0.86715,0.82458,0.85881,0.84461,1
0.87363,0.86584,0.83408,0.79785,0.84974,0.87591,0.8567,0.87821,0.84142,0.87363,0.85717,1
0.85065,0.86585,0.8489,0.79278,0.80158,0.8729,0.82507,0.84077,0.82324,0.85065,0.85735,1
0.84775,0.86052,0.84983,0.79336,0.80827,0.85966,0.84906,0.85081,0.84672,0.84775,0.81379,1
0.87494,0.87746,0.83041,0.79483,0.83164,0.88314,0.86008,0.87463,0.82675,0.87494,0.81419,1
0.87125,0.87771,0.82796,0.80373,0.81661,0.86438,0.86404,0.87432,0.82324,0.87125,0.84718,1
0.86765,0.87182,0.84878,0.80507,0.83614,0.87243,0.82587,0.87704,0.8409,0.86765,0.83411,1
0.86761,0.86908,0.84431,0.78789,0.79346,0.88451,0.83445,0.87531,0.83752,0.86761,0.80228,1
0.85245,0.87053,0.847,0.77492,0.85818,0.88301,0.82461,0.8573,0.76814,0.85245,0.81846,1
0.86985,0.86683,0.8543,0.80537,0.86218,0.84978,0.82478,0.88099,0.83317,0.86985,0.82756,1
0.86321,0.86678,0.84611,0.79784,0.85327,0.85348,0.83488,0.86808,0.8292,0.86321,0.81387,1
0.87105,0.87385,0.85907,0.81205,0.85325,0.8834,0.84427,0.86828,0.84135,0.87105,0.76445,1
